Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,42.2,-69.08,-90.0,top
C10,10p,C_0402_1005Metric,40.3,-70.53,90.0,top
C11,10p,C_0402_1005Metric,40.3,-72.78,90.0,top
C12,22u,C_0805_2012Metric,50.35,-90.9,180.0,top
C13,22u,C_0805_2012Metric,44.8,-85.15,-90.0,top
C14,330n,C_0805_2012Metric,64.1,-84.65,-90.0,top
C15,100n,C_0805_2012Metric,58.85,-79.8,0.0,top
C16,10u,C_1206_3216Metric,69.5,-84.525,-90.0,top
C17,10u,C_1206_3216Metric,66.7,-84.525,-90.0,top
C18,10u,C_1206_3216Metric,72.1,-84.525,-90.0,top
C2,100n,C_0402_1005Metric,45.8,-65.8,0.0,top
C3,100n,C_0402_1005Metric,54.4,-68.8,-90.0,top
C4,100n,C_0402_1005Metric,50.8,-77.8,180.0,top
C5,10u,C_0603_1608Metric,45.8,-64.2,0.0,top
C6,10n,C_0402_1005Metric,42.3,-72.98,90.0,top
C7,1u,C_0402_1005Metric,41.57,-76.05,180.0,top
C8,1u,C_0402_1005Metric,41.55,-77.55,180.0,top
C9,100n,C_0402_1005Metric,41.2,-58.2,90.0,top
FB1,120R,L_0603_1608Metric,43.3,-76.8375,-90.0,top
Q1,MMBT3904,SOT-23,78.7,-62.0375,0.0,top
Q2,AO3401A,SOT-23,83.4,-59.9375,0.0,top
Q3,MMBT3904,SOT-23,70.9,-77.7375,0.0,top
Q4,AO3401A,SOT-23,75.5,-76.6,0.0,top
R1,10k,R_0402_1005Metric,37.82,-65.11,90.0,top
R10,10k,R_0402_1005Metric,86.11,-62.3,180.0,top
R11,2.2k,R_0402_1005Metric,68.2,-79.51,90.0,top
R12,10k,R_0402_1005Metric,70.71,-80.4,0.0,top
R13,2.2k,R_0402_1005Metric,74.19,-80.4,0.0,top
R14,10k,R_0402_1005Metric,78.09,-78.8,180.0,top
R15,100k,R_0402_1005Metric,73.6,-74.9,180.0,top
R16,4.7k,R_0402_1005Metric,56.1,-75.01,-90.0,top
R17,4.7k,R_0402_1005Metric,53.59,-78.1,0.0,top
R2,10k,R_0402_1005Metric,55.8,-68.81,-90.0,top
R3,10k,R_0402_1005Metric,56.5,-73.11,90.0,top
R4,10k,R_0402_1005Metric,55.2,-73.09,90.0,top
R5,4.7k,R_0402_1005Metric,61.8,-76.39,-90.0,top
R6,2.2k,R_0402_1005Metric,75.09,-63.4,0.0,top
R7,10k,R_0402_1005Metric,78.79,-65.1,0.0,top
R8,2.2k,R_0402_1005Metric,82.19,-63.1,0.0,top
R9,100k,R_0402_1005Metric,82.69,-57.4,180.0,top
SW2,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,44.6,-58.3,-90.0,top
U1,STM32F103C8T6,LQFP-48_7x7mm_P0.5mm,48.3,-71.8,270.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,50.1,-84.9,270.0,top
U4,LM78M05_TO252,TO-252-2,59.1275,-86.8,-90.0,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,37.7,-71.7,-90.0,top
